article_name,country,revision_id,population,article_quality
Jean de la Croix Ramambason,Madagascar,738990120,26.3,Stub
Didier Léandre Tsiajotso,Madagascar,738990604,26.3,Stub
Zafimiarina,Madagascar,738990608,26.3,Stub
André Avison Tsitohery,Madagascar,738990614,26.3,Stub
Christian Nestor Velo,Madagascar,738990619,26.3,Stub
Marcel Velonirina,Madagascar,738990625,26.3,Stub
Tovonanahary Rabetsitonta,Madagascar,744565520,26.3,Stub
Monja Jaona,Madagascar,746610349,26.3,C
Rainiharo,Madagascar,746664825,26.3,Start
Jean Louis Robinson,Madagascar,746665327,26.3,Stub
Zafilaza,Madagascar,747783292,26.3,Stub
Eugène Mangalaza,Madagascar,748925052,26.3,Start
Omer Beriziky,Madagascar,748959445,26.3,Stub
Guy Razanamasy,Madagascar,749886771,26.3,Start
Charles Sylvain Rabotoarison,Madagascar,750529490,26.3,Stub
Albert Sylla,Madagascar,751300283,26.3,C
Daniel Rajakoba,Madagascar,753723667,26.3,Start
Monja Roindefo,Madagascar,753789231,26.3,Start
Tantely Andrianarivo,Madagascar,755154892,26.3,C
Pascal Rakotomavo,Madagascar,755449518,26.3,Start
Albert Camille Vital,Madagascar,755771030,26.3,Start
Jonah Parfait Prezaly,Madagascar,755772491,26.3,Stub
Benja Razafimahaleo,Madagascar,756102067,26.3,Stub
Eric Fadola Razafimandimby,Madagascar,756409055,26.3,Stub
Jonah Ranaivo,Madagascar,758494227,26.3,Stub
Ranavalona II,Madagascar,761441904,26.3,B
Gilles Andriamahazo,Madagascar,764323537,26.3,Stub
Rainivoninahitriniony,Madagascar,764651280,26.3,C
Mayors' Association,Madagascar,767866894,26.3,Stub
Roger Kolo,Madagascar,769718831,26.3,Start
Jean Parfait Laurent Mafilaza,Madagascar,776354413,26.3,Stub
Guy Arvely Dolsin,Madagascar,782128166,26.3,Stub
Honoré N. Razafindramiandra,Madagascar,782232126,26.3,C
Lantoniaina Rabenatoandro,Madagascar,782232665,26.3,Stub
Christophe Samuel,Madagascar,782234308,26.3,Stub
Jules Androkae,Madagascar,782258404,26.3,Stub
Marcel Ranjeva,Madagascar,783353817,26.3,Stub
Gilbert Annette,Madagascar,783375076,26.3,Stub
Richard Ratsimandrava,Madagascar,785300009,26.3,Start
Théodore Léonard Randriamanga,Madagascar,785412451,26.3,Stub
Guy Randrianarisoa,Madagascar,785787427,26.3,Start
Jean Ralaimongo,Madagascar,786250327,26.3,C
Norbert Ratsirahonana,Madagascar,787372152,26.3,Start
Zina Andrianarivelo-Razafy,Madagascar,788065934,26.3,Stub
Jacques Sylla,Madagascar,788426063,26.3,C
Ralijaona Laingo,Madagascar,788826001,26.3,Stub
Pierre Ramampy,Madagascar,788826041,26.3,Stub
Laurent Botokeky,Madagascar,788827795,26.3,Stub
Prime Minister of Madagascar,Madagascar,788923629,26.3,Start
Mayor of Antananarivo,Madagascar,788929088,26.3,C
Christine Razanamahasoa,Madagascar,789803954,26.3,Start
Lila Ratsifandrihamanana,Madagascar,789804044,26.3,Start
Norovelomampionona Roberthine Rabetafika,Madagascar,789804225,26.3,Stub
Gisèle Rabesahala,Madagascar,789804267,26.3,C
Zalifa Bente Salim,Madagascar,789804381,26.3,Stub
Yvonne Bezara,Madagascar,789804528,26.3,Stub
Brigitte Lalanirina,Madagascar,789804568,26.3,Stub
Lydia Aimée Vololona Rahantasoa,Madagascar,789804619,26.3,Stub
Flore Maltine Ramarozatovo,Madagascar,789804699,26.3,Stub
Francette Razafindrakoto Harifanja,Madagascar,789804799,26.3,Stub
Aurélie Marie Augustine Razafinjato,Madagascar,789804835,26.3,Stub
Blandine Rasoanamary Voizy,Madagascar,789812973,26.3,Stub
Jeanne Razafiangy Dina Fotomanantena,Madagascar,789813009,26.3,Stub
Eliane Rosa Naika,Madagascar,789813126,26.3,Stub
Johanita Ndahimananjara,Madagascar,789813214,26.3,Stub
Raharimampionona,Madagascar,789813259,26.3,Stub
Emiline Rakotobe,Madagascar,789813300,26.3,Stub
Ruffine Tsiranana,Madagascar,789813516,26.3,Stub
Rainilaiarivony,Madagascar,790032635,26.3,FA
Cécile Manorohanta,Madagascar,790423229,26.3,Start
Bernard Ravelonjato,Madagascar,791175426,26.3,Stub
Mamy Rakotoarivelo,Madagascar,792968636,26.3,Stub
Jacky Mahafaly Tsiandopy,Madagascar,793216890,26.3,Stub
Augustin Andriamananoro,Madagascar,794749478,26.3,C
Monique Andréas Esoavelomandroso,Madagascar,795727319,26.3,Start
Manahirana Leriva,Madagascar,795848488,26.3,Stub
Lucien Xavier Michel-Andrianarahinjaka,Madagascar,796484474,26.3,C
Marc Ravalomanana,Madagascar,796894637,26.3,GA
Désiré Rakotoarijaona,Madagascar,797510197,26.3,Stub
Arisoa Razafitrimo,Madagascar,798181135,26.3,Stub
Hyppolite Ramaroson,Madagascar,798265033,26.3,C
Jean André Soja,Madagascar,799494098,26.3,Stub
Pety Rakotoniaina,Madagascar,799515374,26.3,C
Maurisson Randrianarivony,Madagascar,799671044,26.3,Stub
Charlie Rakotoariventiny,Madagascar,799671786,26.3,Stub
Patrice Rakotoarimanana,Madagascar,799673076,26.3,Stub
Jean Ravelonarivo,Madagascar,799766793,26.3,Start
Olivier Mahafaly Solonandrasana,Madagascar,799766825,26.3,Stub
Jonah Justin Pikulas,Madagascar,799801004,26.3,Stub
Lazafeno,Madagascar,799801427,26.3,Stub
Harinjatovo Rakotondramanana,Madagascar,799823313,26.3,Stub
Roseline Emma Rasolovoahangy,Madagascar,800004210,26.3,Start
Alfred Josoa,Madagascar,800198316,26.3,Stub
Jean de la Croix Ipirina,Madagascar,800199098,26.3,Stub
Cyriaque Alexandre Rambolazafy,Madagascar,800359037,26.3,Stub
Victor Ramahatra,Madagascar,801108745,26.3,Stub
Rasoherina,Madagascar,801260957,26.3,B
Elia Ravelomanantsoa,Madagascar,801377389,26.3,Stub
Arinosy Jacques Razafimbelo,Madagascar,801914821,26.3,Stub
Ranavalona III,Madagascar,802035776,26.3,FA
Norbert Zafimahova,Madagascar,802712488,26.3,Stub
Ranavalona I,Madagascar,803006553,26.3,FA
Edouard Robert,Madagascar,803314691,26.3,Stub
Didier Ratsiraka,Madagascar,805171813,26.3,B
Césaire Rabenoro,Madagascar,805319619,26.3,Stub
Béatrice Atallah,Madagascar,805320332,26.3,Start
Justin Rakotoniaina,Madagascar,805360267,26.3,Stub
Emmanuel Rakotovahiny,Madagascar,805364639,26.3,Stub
Andry Rajoelina,Madagascar,805442200,26.3,GA
Mialy Rajoelina,Madagascar,805442271,26.3,Start
First Lady of Madagascar,Madagascar,805479993,26.3,B
Gilbert Evenom Ngolo,Madagascar,805630553,26.3,Stub
Lalao Ravalomanana,Madagascar,805691709,26.3,Start
Gabriel Ramanantsoa,Madagascar,805812293,26.3,Stub
Charles Rabemananjara,Madagascar,805812556,26.3,Start
Albert Zafy,Madagascar,806100129,26.3,B
Hery Rajaonarimampianina,Madagascar,806769317,26.3,C
Voahangy Rajaonarimampianina,Madagascar,807113220,26.3,Start
Philibert Tsiranana,Madagascar,807414632,26.3,FA
Andre Resampa,Madagascar,807415062,26.3,Stub
Jacques Rabemananjara,Madagascar,807415162,26.3,C
List of Presidents of Madagascar,Madagascar,807415432,26.3,C
Template:Malaysia-politician-stub,Malaysia,439708117,32.5,Stub
Template:Malaysia-activist-stub,Malaysia,546935871,32.5,Stub
Eli Wong,Malaysia,683715284,32.5,Stub
Abu Samah Mohd Kassim,Malaysia,689248087,32.5,Stub
R. G. Balan,Malaysia,690430012,32.5,Stub
Husein Hasanally Abdoolcader,Malaysia,705200309,32.5,Stub
Hashim Suboh,Malaysia,709712219,32.5,Start
Hasnoor Hussein,Malaysia,709825686,32.5,Start
List of whips in the Dewan Rakyat,Malaysia,713331917,32.5,Start
James Chan Khay Syn,Malaysia,715035912,32.5,Stub
Ismail Yaacob,Malaysia,716531360,32.5,Stub
Lau Pak Khuan,Malaysia,717606696,32.5,Start
Fong Chong Pik,Malaysia,718205319,32.5,Stub
Lau Yew,Malaysia,718205760,32.5,Stub
Abdul Halim Abdul Samad,Malaysia,719030235,32.5,Stub
Lee Boon Chim,Malaysia,722240007,32.5,Start
Akmar Hisham,Malaysia,722816132,32.5,C
Heah Joo Seang,Malaysia,723462528,32.5,C
Law Choo Kiang,Malaysia,724483849,32.5,Start
N.K. Menon,Malaysia,725226456,32.5,Start
Mazlan Ismail,Malaysia,725465633,32.5,C
Kamarulzaman Teh,Malaysia,731781828,32.5,Start
Amir Kahar,Malaysia,739883043,32.5,Stub
Marcus Rex,Malaysia,740658363,32.5,Stub
Lamri Ali,Malaysia,743819105,32.5,Stub
Charles Santiago,Malaysia,750525069,32.5,Stub
Lim Beng Hong,Malaysia,756745802,32.5,Start
Kontek Kamariah Ahmad,Malaysia,757542448,32.5,Start
Syed Nasir Ismail,Malaysia,758998682,32.5,Stub
Sukarti Wakiman,Malaysia,759833427,32.5,Start
Gobind Singh Deo,Malaysia,759858445,32.5,Start
Samsudin Osman,Malaysia,760180917,32.5,Stub
Mohamamad Fatmi Che Salleh,Malaysia,760887503,32.5,Start
Violet Yong Wui Wui,Malaysia,761115853,32.5,Start
Mahadev Shankar,Malaysia,763876833,32.5,C
Mas Ermieyati Samsudin,Malaysia,767413481,32.5,Stub
Shahlan Ismail,Malaysia,767741429,32.5,Start
Anwar Abdul Malik,Malaysia,769970063,32.5,B
Edward Gent,Malaysia,772157575,32.5,Start
David E. L. Choong,Malaysia,772604656,32.5,Stub
R.S. Thanenthiran,Malaysia,773078693,32.5,Stub
Sedomon Gunsanad Kina,Malaysia,773236774,32.5,Start
Abdul Rahman Andak,Malaysia,773237867,32.5,Start
Hou Kok Chung,Malaysia,773940232,32.5,Start
Abang Haji Abdillah,Malaysia,774491819,32.5,Start
Jamil Khir Baharom,Malaysia,776060591,32.5,C
Rashid Maidin,Malaysia,776134261,32.5,Start
Jason Teoh,Malaysia,776247440,32.5,Start
Shamsiah Fakeh,Malaysia,776675917,32.5,C
K. R. Somasundram,Malaysia,778798321,32.5,Start
S. Sothinathan,Malaysia,778798332,32.5,Stub
Ahmad Zaidi Adruce,Malaysia,779584984,32.5,C
P. Uthayakumar,Malaysia,779670027,32.5,C
Liou Chen Kuang,Malaysia,780680811,32.5,Start
Murugesan Sinnandavar,Malaysia,782834893,32.5,Start
Ismail Omar Abdul Aziz,Malaysia,783514171,32.5,Stub
Najwan Halimi,Malaysia,783682344,32.5,C
Ibrahim Yaacob,Malaysia,785956481,32.5,Start
Ishak Haji Muhammad,Malaysia,785962378,32.5,Start
Tan Seng Giaw,Malaysia,786727635,32.5,Start
Henry Gurney,Malaysia,787347427,32.5,C
Abdul Aziz bin Husain,Malaysia,787395539,32.5,C
Marina Mahathir,Malaysia,787915868,32.5,Start
Abdul Aziz Abdul Kadir,Malaysia,789334760,32.5,Stub
Abd. Aziz Sheikh Fadzir,Malaysia,789334778,32.5,Start
Amran Abdul Ghani,Malaysia,789334851,32.5,Start
Abdul Halim Abdul Rahman,Malaysia,789334867,32.5,Stub
Abdul Manan Ismail,Malaysia,789334898,32.5,Start
Abdul Rahman Bakri,Malaysia,789352303,32.5,Start
Mohd Abdul Wahid Endut,Malaysia,789353851,32.5,Start
Abdullah Sani Abdul Hamid,Malaysia,789353879,32.5,Start
Abu Seman Yusop,Malaysia,789353921,32.5,Start
Abu Zahar Ithnin,Malaysia,789353928,32.5,Stub
Ahmad Hamzah,Malaysia,789353954,32.5,Start
Abdullah Ahmad,Malaysia,789354060,32.5,Stub
Shamsul Anuar Nasarah,Malaysia,789355978,32.5,Stub
Shafie Apdal,Malaysia,789358957,32.5,C
Asri Muda,Malaysia,789358974,32.5,Start
Awang Hassan,Malaysia,789358984,32.5,Start
Tengku Azlan,Malaysia,789359053,32.5,Start
Baharum Mohamed,Malaysia,789359057,32.5,Stub
Jugah Barieng,Malaysia,789359064,32.5,Start
Bernard Sta Maria,Malaysia,789359068,32.5,Start
Boo Cheng Hau,Malaysia,789359077,32.5,Stub
Chan Seng Khai,Malaysia,789359095,32.5,Stub
Che Rosli,Malaysia,789359102,32.5,Start
Che Uda,Malaysia,789359109,32.5,Stub
Chong Hon Nyan,Malaysia,789359135,32.5,Stub
Sulaiman Daud,Malaysia,789359179,32.5,Stub
Zakaria Deros,Malaysia,789359186,32.5,Start
K. L. Devaser,Malaysia,789359200,32.5,Start
Rashid Din,Malaysia,789359211,32.5,Stub
John Fernandez (Malaysian politician),Malaysia,789359280,32.5,Start
Mohd Firdaus Jaafar,Malaysia,789359287,32.5,Stub
Tajol Rosli Mohd Ghazali,Malaysia,789359338,32.5,Stub
Hamdan Sheikh Tahir,Malaysia,789359385,32.5,Stub
Hamim Samuri,Malaysia,789359397,32.5,Stub
Hasan Malek,Malaysia,789359434,32.5,Start
Mohamad Hasan (politician),Malaysia,789359444,32.5,Stub
Hassan Yunus,Malaysia,789359483,32.5,Stub
Mohd Hatta Ramli,Malaysia,789359488,32.5,Stub
Mohd Hayati Othman,Malaysia,789359494,32.5,Start
Hee Loy Sian,Malaysia,789359500,32.5,Stub
Burhanuddin al-Helmy,Malaysia,789359511,32.5,Start
Hiew King Cheu,Malaysia,789359520,32.5,Start
Husam Musa,Malaysia,789359554,32.5,Start
Irmohizam Ibrahim,Malaysia,789360742,32.5,Start
Mohd Idris Jusi,Malaysia,789360791,32.5,Stub
Ismail Mohamed Said,Malaysia,789360825,32.5,Stub
Ismail Muttalib,Malaysia,789360834,32.5,Stub
Saifuddin Nasution Ismail,Malaysia,789360871,32.5,Start
Mohd Jidin Shafee,Malaysia,789360940,32.5,Start
Johari Abdul,Malaysia,789360947,32.5,Stub
P. Kamalanathan,Malaysia,789360991,32.5,Start
Kamarul Baharin Abbas,Malaysia,789361000,32.5,Stub
Jeffrey Kitingan,Malaysia,789361160,32.5,Start
S. Krishnasamy,Malaysia,789361232,32.5,Stub
Joseph Kurup,Malaysia,789361239,32.5,Start
Lai Meng Chong,Malaysia,789361260,32.5,Stub
Robert Lau Hoi Chew,Malaysia,789361299,32.5,Start
Alice Lau Kiong Yieng,Malaysia,789361328,32.5,Stub
Lee Boon Chye,Malaysia,789361366,32.5,Start
Lee Ying Ha,Malaysia,789361388,32.5,Stub
Lee Lam Thye,Malaysia,789361400,32.5,Stub
Yong Teck Lee,Malaysia,789361417,32.5,Stub
Lilah Yasin,Malaysia,789361465,32.5,Start
Malcom Mussen Lamoh,Malaysia,789361653,32.5,Stub
S. Manikavasagam,Malaysia,789361667,32.5,Start
Michael Manyin,Malaysia,789361711,32.5,Stub
Md Sirat Abu,Malaysia,789361743,32.5,Start
Taib Azamudden Md Taib,Malaysia,789361748,32.5,Start
Zahrain Mohamed Hashim,Malaysia,789361795,32.5,Start
Mohsin Fadzli Samsuri,Malaysia,789361859,32.5,Stub
Abdul Rahman Mokhtar,Malaysia,789361876,32.5,Stub
Muhammad Husin,Malaysia,789361897,32.5,Stub
Mujahid Yusof Rawa,Malaysia,789361921,32.5,Start
Nasarudin Hashim,Malaysia,789361998,32.5,Start
Mohd Nasir Ibrahim Fikri,Malaysia,789362014,32.5,Start
Ganga Nayar,Malaysia,789362039,32.5,Start
Harrison Ngau Laing,Malaysia,789362069,32.5,Stub
K. S. Nijhar,Malaysia,789362076,32.5,Start
Mohd Nizar Zakaria,Malaysia,789362133,32.5,Stub
Noor Ehsanuddin Mohd Harun Narrashid,Malaysia,789362143,32.5,Start
Mohd Nor Othman,Malaysia,789362150,32.5,Stub
Noraini Ahmad,Malaysia,789362156,32.5,Start
M. G. Pandithan,Malaysia,789367877,32.5,C
Simoi Peri,Malaysia,789367881,32.5,Stub
Poh Ah Tiam,Malaysia,789367887,32.5,Stub
Mohd Puad Zarkashi,Malaysia,789367904,32.5,Start
Krishnamoorthy Rajannaidu,Malaysia,789367925,32.5,Stub
RSN Rayer,Malaysia,789368203,32.5,Start
Rajiv Rishyakaran,Malaysia,789368226,32.5,C
Othman Saat,Malaysia,789368242,32.5,Stub
Sakinah Junid,Malaysia,789368305,32.5,Start
Harris Salleh,Malaysia,789368314,32.5,Stub
Shafie Salleh,Malaysia,789368318,32.5,Start
D. R. Seenivasagam,Malaysia,789368371,32.5,Start
Badrul Hisham Shaharin,Malaysia,789368442,32.5,Stub
Abdul Aziz Shamsuddin,Malaysia,789368447,32.5,Stub
Jagdeep Singh Deo,Malaysia,789368497,32.5,Start
Ramkarpal Singh,Malaysia,789368504,32.5,Start
Subramaniam Sinniah,Malaysia,789368513,32.5,Start
Siti Mariah Mahmud,Malaysia,789368521,32.5,Start
Su Keong Siong,Malaysia,789368548,32.5,Stub
Suhaimi Hassan,Malaysia,789368583,32.5,Stub
Osu Sukam,Malaysia,789368900,32.5,Start
Sulaiman Taha,Malaysia,789368941,32.5,Start
Julian Tan Kok Ping,Malaysia,789369001,32.5,Stub
Tan Kok Wai,Malaysia,789369026,32.5,Start
Tanasekharan Autherapady,Malaysia,789369049,32.5,Stub
Tengku Razaleigh Hamzah,Malaysia,789369089,32.5,B
Teo Kok Seong,Malaysia,789369097,32.5,Stub
Michael Teo Yu Keng,Malaysia,789369107,32.5,Stub
Lajim Ukin,Malaysia,789369200,32.5,Start
V. David,Malaysia,789369215,32.5,Start
Vadiveloo Govindasamy,Malaysia,789369217,32.5,Stub
Veerappen Veerathan,Malaysia,789369218,32.5,Stub
Wan Abdul Rahim,Malaysia,789369231,32.5,Start
Elizabeth Wong (politician),Malaysia,789369293,32.5,Start
Wong Sze Phin,Malaysia,789370107,32.5,Stub
Stephen Yong Kuet Tze,Malaysia,789370406,32.5,Stub
Yusmadi Yusoff,Malaysia,789370467,32.5,Stub
Syed Zahiruddin,Malaysia,789370490,32.5,Stub
Hamzah Zainudin,Malaysia,789370511,32.5,Start
Phahrolrazi Zawawi,Malaysia,789370533,32.5,Start
Mohd Zin Mohamed,Malaysia,789370540,32.5,Start
Zuraida Kamaruddin,Malaysia,789370558,32.5,Start
Wilson Nyabong Ijang,Malaysia,789370710,32.5,Start
Zainal Abidin Ahmad (writer),Malaysia,789444791,32.5,Start
Karim Mansor,Malaysia,789530545,32.5,Stub
Ahmad Boestaman,Malaysia,789570522,32.5,Start
Halimah Mohamed Sadique,Malaysia,789667099,32.5,Start
Tan Ah Eng,Malaysia,789667817,32.5,Start
Teo Nie Ching,Malaysia,789667856,32.5,Start
Napsiah Omar,Malaysia,789667895,32.5,Stub
Liang Teck Meng,Malaysia,790085545,32.5,Start
Liew Chin Tong,Malaysia,790184450,32.5,Start
Hannah Yeoh,Malaysia,790303932,32.5,Start
Azimi Daim,Malaysia,790313201,32.5,Stub
Aziz Ishak,Malaysia,790314574,32.5,C
D. S. Ramanathan,Malaysia,790393300,32.5,Start
V. T. Sambanthan,Malaysia,790929468,32.5,C
Sivarasa Rasiah,Malaysia,791120001,32.5,Start
Bernard Giluk Dompok,Malaysia,791166936,32.5,Start
Sapawi Ahmad,Malaysia,791273016,32.5,Stub
Nor Mohamed Yakcop,Malaysia,791513182,32.5,Start
Lily Eberwein,Malaysia,792054412,32.5,Start
Mustapha Harun,Malaysia,792563081,32.5,C
Chris Lee Chun Kit,Malaysia,792673202,32.5,Start
Chan Tzun Hei,Malaysia,793666936,32.5,C
Annuar Rapaee,Malaysia,793678534,32.5,Start
Tang Heap Seng,Malaysia,794018978,32.5,C
Yap Soo Huey,Malaysia,794019405,32.5,Start
Chong Kah Kiat,Malaysia,794066909,32.5,Start
Chong Ted Tsiung,Malaysia,794067025,32.5,Stub
Tan Keng Liang,Malaysia,794306484,32.5,Start
Lee Chee Leong,Malaysia,794447789,32.5,Start
Henry Lee Hau Shik,Malaysia,794451131,32.5,GA
Mohamad Aziz,Malaysia,794584592,32.5,Start
Ahmad Lebai Sudin,Malaysia,794636323,32.5,Start
Hashim Jasin,Malaysia,794645793,32.5,Start
M. Manogaran,Malaysia,794672664,32.5,Start
N. Surendran,Malaysia,794953086,32.5,Start
Kong Cho Ha,Malaysia,794970677,32.5,Start
Chor Chee Heung,Malaysia,794990219,32.5,Start
Wilfred Madius Tangau,Malaysia,794994956,32.5,Start
Wong Sai Hou,Malaysia,795123414,32.5,Stub
Lim Lip Eng,Malaysia,795231840,32.5,Start
K. Parthiban,Malaysia,795293603,32.5,Start
John Thivy,Malaysia,795590138,32.5,Start
Ariff Sabri Abdul Aziz,Malaysia,795696474,32.5,Start
Senu Abdul Rahman,Malaysia,795721037,32.5,Start
Bong Kee Chok,Malaysia,795727653,32.5,Stub
Lai Teck,Malaysia,795868374,32.5,C
Waytha Moorthy Ponnusamy,Malaysia,795980269,32.5,C
Ong Kian Ming,Malaysia,796007106,32.5,Start
Ko Chung Sen,Malaysia,796065203,32.5,Start
Razali Ibrahim,Malaysia,796162213,32.5,Start
Matulidi Jusoh,Malaysia,796172387,32.5,Start
Abdul Latiff Ahmad,Malaysia,796214876,32.5,Start
Wong Ho Leng,Malaysia,796331250,32.5,C
Ahmad Fuad Ismail,Malaysia,796342099,32.5,Stub
K. Pathmanaban,Malaysia,796357529,32.5,Start
Omar Yoke Lin Ong,Malaysia,796640739,32.5,C
Tan Tee Beng,Malaysia,796684896,32.5,Start
Joseph Pairin Kitingan,Malaysia,796833506,32.5,C
Mohamed Khaled Nordin,Malaysia,797182387,32.5,Start
FD Iskandar,Malaysia,797360151,32.5,C
Yeung Kwo,Malaysia,797403713,32.5,Stub
Steven Sim,Malaysia,797458550,32.5,Start
Hishamuddin Rais,Malaysia,797555519,32.5,Start
Ramasamy Palanisamy,Malaysia,797595481,32.5,C
Mohd Nasir Hashim,Malaysia,797596345,32.5,Start
Khalid Abdul Samad,Malaysia,797762863,32.5,Start
Mohamad Shahrum Osman,Malaysia,797774050,32.5,Stub
William Leong Jee Keen,Malaysia,797790148,32.5,Start
Ling Liong Sik,Malaysia,797977082,32.5,C
Adam Adli,Malaysia,798058722,32.5,Stub
M. K. Rajakumar,Malaysia,798135626,32.5,C
Fauzi Abdul Rahman,Malaysia,798143123,32.5,Stub
Tan Cheng Lock,Malaysia,798146189,32.5,C
Chen Tien,Malaysia,798284140,32.5,Stub
Lim Chong Eu,Malaysia,798285613,32.5,C
Aminuddin Harun,Malaysia,798334920,32.5,Stub
Chandra Mohan Thambirajah,Malaysia,798351135,32.5,Stub
Yeap Ghim Guan,Malaysia,798447592,32.5,Start
Raja Kamarul Bahrin,Malaysia,798472672,32.5,Stub
Mansor Othman,Malaysia,798521153,32.5,Stub
Mohamad Imran Abdul Hamid,Malaysia,798531872,32.5,Stub
Oscar Ling Chai Yew,Malaysia,798535115,32.5,Stub
Wee Choo Keong,Malaysia,798597760,32.5,C
Ng Wei Aik,Malaysia,798630854,32.5,Start
Kerk Kim Hock,Malaysia,798638192,32.5,Start
Chow Kon Yeow,Malaysia,798641007,32.5,Start
Ariffin Omar,Malaysia,798644652,32.5,Start
E. E. C. Thuraisingham,Malaysia,798671264,32.5,C
Daniel Wa Wai How,Malaysia,798877174,32.5,Stub
Adli Zahari,Malaysia,798878028,32.5,Stub
Wong Tien Fatt,Malaysia,798897268,32.5,Stub
Wong Ling Biu,Malaysia,798900362,32.5,Stub
Manivannan Gowindasamy,Malaysia,799008805,32.5,Stub
Mohamed Rahmat,Malaysia,799022512,32.5,Start
Kasthuriraani Patto,Malaysia,799037350,32.5,Start
Mohd Radzi Sheikh Ahmad,Malaysia,799041144,32.5,Start
James W. W. Birch,Malaysia,799065783,32.5,C
Sim Tong Him,Malaysia,799096901,32.5,Start
Duncan Stewart (British diplomat),Malaysia,799152970,32.5,C
Ong Ka Ting,Malaysia,799225381,32.5,Start
Siti Aishah Shaik Ismail,Malaysia,799448968,32.5,Stub
Pandikar Amin Mulia,Malaysia,799451022,32.5,Start
Michael Jeyakumar Devaraj,Malaysia,799486739,32.5,Start
Devamany S. Krishnasamy,Malaysia,799505454,32.5,C
Abdul Ghani Ahmad,Malaysia,799527434,32.5,Start
Mohd Eekmal Ahmad,Malaysia,799540668,32.5,Start
Saravanan Murugan,Malaysia,799544171,32.5,Start
Chua Tee Yong,Malaysia,799546918,32.5,Start
Philip Lee Tau Sang,Malaysia,799564059,32.5,Stub
Wong Foon Meng,Malaysia,799712543,32.5,Start
Abang Muhammad Salahuddin,Malaysia,799746271,32.5,C
Tajuddin Abdul Rahman,Malaysia,799998700,32.5,C
Azlan Mohd Lazim,Malaysia,800142151,32.5,Start
K. Sivalingam,Malaysia,800274510,32.5,Start
Janaky Athi Nahappan,Malaysia,800465717,32.5,Start
Dyana Sofya Mohd Daud,Malaysia,800706423,32.5,C
Soh Chin Aun,Malaysia,800722429,32.5,Start
Dzulkefly Ahmad,Malaysia,800728411,32.5,Start
Abdul Rahman Ya'kub,Malaysia,800849229,32.5,B
Wee Han Wen,Malaysia,800849799,32.5,Stub
Hii King Chiong,Malaysia,800857179,32.5,Start
Amirsham Abdul Aziz,Malaysia,801220996,32.5,Stub
Jins Shamsuddin,Malaysia,801244467,32.5,C
Tan Chai Ho,Malaysia,801256611,32.5,Start
Mohamed Hanipa Maidin,Malaysia,801328134,32.5,Stub
Mohd Nor Monutty,Malaysia,801330042,32.5,Stub
Victor Gu,Malaysia,801432169,32.5,Stub
Zaid Ibrahim,Malaysia,801449223,32.5,C
Kamarudin Jaffar,Malaysia,801505651,32.5,Start
Saifuddin Abdullah,Malaysia,801651279,32.5,Start
Wong Chen,Malaysia,801704415,32.5,Start
Er Teck Hwa,Malaysia,801841027,32.5,Start
Nur Jazlan Mohamed,Malaysia,801859850,32.5,C
Tan Chee Khoon,Malaysia,801869254,32.5,C
Tan Kee Kwong,Malaysia,801869376,32.5,C
Ahmad Shabery Cheek,Malaysia,802304359,32.5,Start
Amani Williams Hunt Abdullah,Malaysia,802374238,32.5,C
Abang Haji Openg,Malaysia,802467163,32.5,Start
Fuad Stephens,Malaysia,802727432,32.5,C
Eu Chooi Yip,Malaysia,802739786,32.5,C
Ahmad Bashah Md Hanipah,Malaysia,802752208,32.5,Start
Fariz Musa,Malaysia,802772770,32.5,Start
Sim Tze Tzin,Malaysia,802784737,32.5,Start
V. Manickavasagam,Malaysia,802785186,32.5,Start
Tun Fatimah,Malaysia,802955123,32.5,Start
Chin Peng,Malaysia,802965442,32.5,GA
Musa Hitam,Malaysia,803554531,32.5,C
Nathaniel Tan,Malaysia,803784152,32.5,C
Michelle Yesudas,Malaysia,803847313,32.5,Stub
Syed Sheh Shahabudin,Malaysia,804009781,32.5,Stub
List of Malaysian politicians of Indian descent,Malaysia,804053178,32.5,Start
Ahmad Ismail (Malaysian politician),Malaysia,804091573,32.5,C
Karpal Singh,Malaysia,804215818,32.5,GA
Onn Jaafar,Malaysia,804374956,32.5,C
G. Rama Iyer,Malaysia,804489697,32.5,Stub
Mustapa Mohamed,Malaysia,804556284,32.5,Start
Siti Zailah Mohd Yusoff,Malaysia,804556604,32.5,Start
Zairil Khir Johari,Malaysia,804632561,32.5,C
Gan Peck Cheng,Malaysia,804703685,32.5,Start
Fadzil Mahmood,Malaysia,804949237,32.5,Stub
Hoh Khai Mun,Malaysia,804976808,32.5,Start
Vigneswaran Sanasee,Malaysia,805230733,32.5,Stub
Wan Azizah Wan Ismail,Malaysia,805402248,32.5,C
Mohamad Sabu,Malaysia,805402380,32.5,C
M. Kulasegaran,Malaysia,805402558,32.5,Start
Ameir Hassan,Malaysia,805405910,32.5,Stub
Lim Yew Hock,Malaysia,805427222,32.5,FA
Ghazali Shafie,Malaysia,805444233,32.5,Start
Fong Kui Lun,Malaysia,805458276,32.5,Start
Teng Boon Soon,Malaysia,805458679,32.5,Start
Lim Si Pin,Malaysia,805459326,32.5,Stub
John Victor Morais,Malaysia,805559437,32.5,Start
G. Palanivel,Malaysia,805599633,32.5,C
Hee Yit Foong,Malaysia,805599800,32.5,C
